Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,-0.00461631,-0.000288476,0,0
1,1,0,5,0,-0.00554251,-0.000268115,0,0
1,1,0,5,0,-0.00559215,-0.000261241,0,0
1,1,0,5,0,-0.00580168,-0.000287316,0,0
1,1,0,5,0,-0.00485982,-0.000266339,0,0
1,1,0,5,0,-0.00324655,-0.000114512,0,0
1,1,0,5,0,-0.00245372,-6.04289e-05,0,0
1,1,0,5,0,-0.00283925,-3.23758e-05,0,0
1,1,0,5,0,-0.0038594,5.74327e-05,0,0
1,1,0,5,0,-0.00590292,-2.84035e-05,0,0
1,1,0,5,0,-0.00699671,-0.000130664,0,0
1,1,0,5,0,-0.00702523,-0.000136328,0,0
1,1,0,5,0,-0.00714934,-0.000227277,0,0
1,1,0,5,0,-0.00685924,-0.000282002,0,0
1,1,0,5,0,-0.00614853,-0.000175799,0,0
1,1,0,5,0,-0.00661986,-0.00010819,0,0
1,1,0,5,0,-0.00687233,-0.000106252,0,0
1,1,0,5,0,-0.00659379,-6.58427e-05,0,0
1,1,0,5,0,-0.00616096,-2.10234e-05,0,0
1,1,0,5,0,-0.00667935,-6.11076e-05,0,0
1,1,0,5,0,-0.00680676,-0.00010122,0,0
